# Cl in System, # NA in System, Ion measured, Coefficient, Uncertainty, Units
6, 6, CL   ,   0.8891    ,   +/- 0.2900  ,   1e-5 cm^2/s     
6, 6, Ion   ,   0.7512    ,   +/- 0.1473  ,   1e-5 cm^2/s     
6, 6, NA   ,   0.5384    ,   +/- 0.0729  ,   1e-5 cm^2/s     
6, 6, SOL   ,   2.2364    ,   +/- 0.0676  ,   1e-5 cm^2/s     
6, 6, CL   ,   1.6626    ,   +/- 0.5532  ,   1e-5 cm^2/s     
6, 6, Ion   ,   1.1436    ,   +/- 0.0566  ,   1e-5 cm^2/s     
6, 6, NA   ,   0.3433    ,   +/- 0.7093  ,   1e-5 cm^2/s     
6, 6, SOL   ,   1.9947    ,   +/- 0.1480  ,   1e-5 cm^2/s     
1, 0, CL   ,   0.7557    ,   +/- 0.3659  ,   1e-5 cm^2/s     
1, 0, Ion   ,   0.7557    ,   +/- 0.3659  ,   1e-5 cm^2/s     
1, 0, SOL   ,   2.3049    ,   +/- 0.2929  ,   1e-5 cm^2/s     
0, 1, Ion   ,   1.3369    ,   +/- 0.7978  ,   1e-5 cm^2/s     
0, 1, NA   ,   1.3369    ,   +/- 0.7978  ,   1e-5 cm^2/s     
0, 1, SOL   ,   2.3467    ,   +/- 0.0088  ,   1e-5 cm^2/s     
6, 0, CL   ,   1.8784    ,   +/- 0.9523  ,   1e-5 cm^2/s     
6, 0, Ion   ,   1.8784    ,   +/- 0.9523  ,   1e-5 cm^2/s     
6, 0, SOL   ,   2.1266    ,   +/- 0.1400  ,   1e-5 cm^2/s     
0, 6, Ion   ,   0.4273    ,   +/- 0.3137  ,   1e-5 cm^2/s     
0, 6, NA   ,   0.4273    ,   +/- 0.3137  ,   1e-5 cm^2/s     
0, 6, SOL   ,   2.2897    ,   +/- 0.2220  ,   1e-5 cm^2/s     
