Energy                  ,   Average , Err.Est.,      RMSD, Tot-Drift
LJ (SR)                 ,   4174.84 ,      2.4,   143.051,  -9.24316  (kJ/mol)
Coulomb (SR)            ,  -22741.4 ,      4.5,   214.223,      6.76  (kJ/mol)
Coul. recip.            ,   106.851 ,     0.54,   9.62178,   3.38938  (kJ/mol)
LJ recip.               ,  -1055.96 ,     0.65,   12.7432,  -3.45245  (kJ/mol)
Potential               ,  -19515.7 ,      2.6,   124.943,  -2.54629  (kJ/mol)
Coul-SR:CL-CL           ,  -1463.44 ,      1.1,    5.9066,  -5.47718  (kJ/mol)
LJ-SR:CL-CL             ,   10.4579 ,    0.044,  0.368231, -0.311292  (kJ/mol)
Coul-SR:CL-SOL          ,  -1644.52 ,       35,   132.411,  -180.568  (kJ/mol)
LJ-SR:CL-SOL            ,   278.334 ,      4.1,   33.9459,   22.0732  (kJ/mol)
Coul-SR:CL-rest         ,  -376.701 ,       36,   118.719,    184.08  (kJ/mol)
LJ-SR:CL-rest           ,    44.724 ,      4.6,   20.3124,  -25.2193  (kJ/mol)
Coul-SR:SOL-SOL         ,  -16159.3 ,       41,   257.524,   218.955  (kJ/mol)
LJ-SR:SOL-SOL           ,   3576.01 ,      4.6,   136.819,  -27.0182  (kJ/mol)
Coul-SR:SOL-rest        ,  -1639.08 ,       41,   146.579,  -213.389  (kJ/mol)
LJ-SR:SOL-rest          ,   265.273 ,        4,   31.3941,   21.2329  (kJ/mol)
Coul-SR:rest-rest       ,  -1458.34 ,      3.1,   13.8648,   3.16018  (kJ/mol)
LJ-SR:rest-rest         , 0.0430466 ,  0.00049,0.00274626,-0.000475195  (kJ/mol)
